"WORDS","SUBSTITUTE"
"on","off"
"in","an"
"of","the"
"use","throw"
"tom","sam"
"hard","dear"
"heading","continent"
"color","damage"
"express","porch"
"write","greatly"
"among","here"
"according","form"
"situation","hidden"
"lower","let"
"careful","single"
"say","actual"
"therefore","maybe"
"gently","hope"
"broke","most"
"will","develop"
"physical","fur"
"purple","press"
"furniture","ago"
"develop","either"
"goes","nest"
"carbon","cent"
"buried","order"
"unless","interior"
"them","prevent"
"population","worker"
"electricity","sister"
"wet","map"
"fight","recent"
"plenty","else"
"pour","customs"
"parts","tongue"
"larger","how"
"camp","drawn"
"chose","morning"
"cave","next"
"liquid","constantly"
"trace","larger"
"gold","wool"
"escape","is"
"within","daily"
"row","wherever"
"giant","tail"
"once","night"
"toward","along"
"how","major"
"canal","needs"
"first","height"
"applied","castle"
"grabbed","ball"
"hungry","airplane"
"dress","combination"
"forgot","fully"
"school","liquid"
"effort","stand"
"sang","deep"
"leaving","mill"
"paragraph","according"
"seeing","secret"
"experience","potatoes"
"dry","western"
"parent","mood"
"greater","chest"
"down","weight"
"burn","as"
"rope","meat"
"shown","fierce"
"highest","gun"
"tube","string"
"operation","simplest"
"vast","immediately"
"solid","body"
"west","church"
"cup","quick"
"pet","aware"
"finally","wolf"
"breathing","where"
"paid","constantly"
"bow","earlier"
"social","except"
"mountain","sound"
"foreign","happen"
"firm","either"
"swung","silver"
"loss","upper"
"soil","information"
"away","those"
"stiff","aid"
"fair","lake"
"particles","oxygen"
"machine","belong"
"apartment","tie"
"radio","them"
"sat","situation"
"saw","highest"
"atmosphere","lunch"
